Room,Room,Description,Maximum Capacity,
SRTC,155,GP TC CB TECH      RO,51,
SRTC,162,GP  TAC  CB  W  TECH     RO/BI,25,
SRTC,166,GP  TAC  CB  W  TECH     RO/CH,25,
SRTC,247,GP TAC CB TECH      RO,75,
URBN,250,GP  TC  CB  W  TECH     RO/UPA,72,
URBN,303,GP  TC  CB  W  TECH  DISTANCE LEARNING     RO,32,
UTS,203,GP TC TECH                                RO,75,
UTS,205,GP  TC  MB  W  TECH     RO,40,
UTS,206,GP TC TECH                              RO,70,
UTS,208,GP  TAC  MB  W  TECH     RO,28,
UTS,209,GP  TAC  MB  W  TECH     RO,40,
UTS,210,GP TAC TECH                     RO,35,
UTS,304,GP  TC  MB  W  TECH     RO,40,
UTS,305,GP  TC  MB  W  TECH     RO,48,
UTS,306,GP  TC  MB  W  TECH     RO,38,
UTS,307,GP  TC  MB  W  TECH     RO,48,
UTS,308,TECH TC GP     RO,48,
UTS,310,TC TECH     RO,26,
XSB,183,GP TECH TC     RO,65,
XSB,201,GP TECH TAC W MB     RO,30,
XSB,205,GP  TECH TAC     RO,28,
XSB,259,gp TECH TC     RO,20,
XSB,261,gp TECH TC     RO,26,
XSB,291,GP TECH TAC     RO,28,
XSB,293,GP TECH TC     RO,30,
